! Elab, sigma
5.800000E+6, 8.893900E-2
6.400000E+6, 1.072000E-1
7.000000E+6, 1.147000E-1
7.600000E+6, 1.154600E-1
8.200000E+6, 1.119900E-1
9.000000E+6, 1.031800E-1
4.000000E+2, 1.58620E-26
7.000000E+2, 2.51410E-19
1.000000E+3, 1.02680E-15
4.000000E+3, 1.160400E-6
7.000000E+3, 1.544300E-4
1.000000E+4, 1.732600E-3
1.400000E+4, 1.139900E-2
2.000000E+4, 5.967800E-2
2.600000E+4, 1.683000E-1
3.500000E+4, 4.707300E-1
5.000000E+4, 1.370200E+0
6.500000E+4, 2.656300E+0
8.000000E+4, 3.957100E+0
9.500000E+4, 4.800500E+0
1.040000E+5, 4.995900E+0
1.100000E+5, 5.009700E+0
1.200000E+5, 4.876900E+0
1.350000E+5, 4.465200E+0
1.500000E+5, 3.970400E+0
1.800000E+5, 3.072300E+0
2.200000E+5, 2.233200E+0
2.800000E+5, 1.504600E+0
3.400000E+5, 1.099400E+0
4.000000E+5, 8.507400E-1
4.600000E+5, 6.860000E-1
5.500000E+5, 5.250400E-1
7.000000E+5, 3.715700E-1
8.500000E+5, 2.854100E-1
1.000000E+6, 2.315800E-1
1.300000E+6, 1.699900E-1
1.600000E+6, 1.372500E-1
1.900000E+6, 1.178800E-1
2.200000E+6, 1.056700E-1
2.500000E+6, 9.769700E-2
2.800000E+6, 9.243800E-2
3.100000E+6, 8.901700E-2
3.400000E+6, 8.687700E-2
3.700000E+6, 8.569800E-2
4.000000E+6, 8.446100E-2
4.300000E+6, 8.341500E-2
4.600000E+6, 8.234200E-2
4.900000E+6, 8.106900E-2
5.400000E+6, 7.831500E-2
6.000000E+6, 7.434800E-2
6.600000E+6, 7.044200E-2
7.500000E+6, 6.456500E-2
9.000000E+6, 5.568000E-2
1.100000E+7, 4.777300E-2
1.275000E+7, 4.283700E-2
1.500000E+7, 3.839800E-2
1.900000E+7, 3.322600E-2
2.400000E+7, 2.949400E-2
4.100000E+6, 1.731200E-2
4.400000E+6, 2.752300E-2
4.700000E+6, 3.863300E-2
5.000000E+6, 5.147900E-2
5.300000E+6, 6.584700E-2
5.800000E+6, 8.893900E-2
6.400000E+6, 1.072000E-1
7.000000E+6, 1.147000E-1
7.600000E+6, 1.154600E-1
8.200000E+6, 1.119900E-1
9.000000E+6, 1.031800E-1
1.000000E+2, 2.04690E-56
4.000000E+2, 1.58620E-26
7.000000E+2, 2.51410E-19
1.000000E+3, 1.02680E-15
4.000000E+3, 1.160400E-6
7.000000E+3, 1.544300E-4
1.000000E+4, 1.732600E-3
1.400000E+4, 1.139900E-2
2.000000E+4, 5.967800E-2
2.600000E+4, 1.683000E-1
3.500000E+4, 4.707300E-1
5.000000E+4, 1.370200E+0
6.500000E+4, 2.656300E+0
8.000000E+4, 3.957100E+0
9.500000E+4, 4.800500E+0
1.040000E+5, 4.995900E+0
1.100000E+5, 5.009700E+0
1.200000E+5, 4.876900E+0
1.350000E+5, 4.465200E+0
1.500000E+5, 3.970400E+0
1.800000E+5, 3.072300E+0
2.200000E+5, 2.233200E+0
2.800000E+5, 1.504600E+0
3.400000E+5, 1.099400E+0
4.000000E+5, 8.507400E-1
4.600000E+5, 6.860000E-1
5.500000E+5, 5.250400E-1
7.000000E+5, 3.715700E-1
8.500000E+5, 2.854100E-1
1.000000E+6, 2.315800E-1
1.300000E+6, 1.699900E-1
1.600000E+6, 1.372500E-1
1.900000E+6, 1.178800E-1
2.200000E+6, 1.056700E-1
2.500000E+6, 9.769700E-2
2.800000E+6, 9.243800E-2
3.100000E+6, 8.901700E-2
3.400000E+6, 8.687700E-2
3.700000E+6, 8.569800E-2
4.000000E+6, 8.446100E-2
4.300000E+6, 8.341500E-2
4.600000E+6, 8.234200E-2
4.900000E+6, 8.106900E-2
5.400000E+6, 7.831500E-2
6.000000E+6, 7.434800E-2
6.600000E+6, 7.044200E-2
7.500000E+6, 6.456500E-2
9.000000E+6, 5.568000E-2
1.100000E+7, 4.777300E-2
1.275000E+7, 4.283700E-2
1.500000E+7, 3.839800E-2
1.900000E+7, 3.322600E-2
2.400000E+7, 2.949400E-2
4.100000E+6, 1.731200E-2
4.400000E+6, 2.752300E-2
4.700000E+6, 3.863300E-2
5.000000E+6, 5.147900E-2
5.300000E+6, 6.584700E-2
5.800000E+6, 8.893900E-2
6.400000E+6, 1.072000E-1
7.000000E+6, 1.147000E-1
7.600000E+6, 1.154600E-1
8.200000E+6, 1.119900E-1
9.000000E+6, 1.031800E-1
